County,Num,Name,Genus,Species,Subspecies,Regions,Landscape,Location,GPS,Habitat,ColMethod,Date,Year,Decade,HDecade,Decade30,Invasion,Museum,Source,Notes,COUNTY_CD,OBJECTID,COUNTY_SEA,ODOT_DISTR,FIPS_COUNT,POP_2010,POP_2000,POP_1990,STATE_PLAN,ELEVATION_,ELEVATION1,LAT_NORTH_,LAT_SOUTH_,LONG_EAST_,LONG_WEST_,AREA_SQMI,AREA_ID,lon,lat,YearGroup
Adams,3911,Hippodamia parenthesis,Hippodamia,parenthesis,,AP,Rural,"1mi S Beasley Fork, Adams Co., OH",,,,29-Jul-85,1985,1980,1985-1989,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550564,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1992
Adams,3837,Hippodamia convergens,Hippodamia,convergens,,AP,Rural,"Adams Co., OH",,,,14-Jul-34,1934,1930,1930-1934,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550465,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1938
Adams,3088,Coccinella novemnotata,Coccinella,novemnotata,,AP,Rural,"Adams Co., OH",,,,30-Sep-34,1934,1930,1930-1934,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 762156,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1938
Adams,3441,Coleomegilla maculata,Coleomegilla,maculata,lengi ,AP,Rural,"Adams Co., OH",,,,16-Jul-85,1985,1980,1985-1989,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 548875,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1992
Adams,3828,Hippodamia convergens,Hippodamia,convergens,,AP,Rural,"1mi S Beasley Fork, Adams Co., OH",,,,29-Jul-85,1985,1980,1985-1989,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550430,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1992
Adams,4103,Myzia pullata,Myzia,pullata,,AP,Rural,"Adams Co., OH",,,,30-Sep-34,1934,1930,1930-1934,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 762009,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1938
Adams,3910,Hippodamia parenthesis,Hippodamia,parenthesis,,AP,Rural,"1mi S Beasley Fork, Adams Co., OH",,,,29-Jul-85,1985,1980,1985-1989,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550563,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1992
Adams,3123,Coccinella novemnotata,Coccinella,novemnotata,,AP,Rural,"Adams Co., OH",,,,14-Jul-34,1934,1930,1930-1934,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 762204,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1938
Adams,2866,Adalia bipunctata,Adalia,bipunctata,,AP,Rural,"Adams Co., OH",,,,30-Sep-34,1934,1930,1930-1934,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 763872,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1938
Adams,3087,Coccinella novemnotata,Coccinella,novemnotata,,AP,Rural,"Adams Co., OH",,,,30-Sep-34,1934,1930,1930-1934,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 762155,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1938
Adams,3918,Hippodamia parenthesis,Hippodamia,parenthesis,,AP,Rural,"1mi S Beasley Fork, Adams Co., OH",,,,29-Jul-85,1985,1980,1985-1989,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550571,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1992
Adams,1556,Hippodamia parenthesis,Hippodamia,parenthesis,,AP,Rural,Meigs Twnp.,,,,12-Aug-39,1939,1930,1935-1939,1920-1940,1Pre-invasion,"Michigan State University, A.J. Cook Arthropod Research Collection",Museum,,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1970
Adams,3827,Hippodamia convergens,Hippodamia,convergens,,AP,Rural,"1mi S Beasley Fork, Adams Co., OH",,,,29-Jul-85,1985,1980,1985-1989,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550429,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1992
Adams,3120,Coccinella novemnotata,Coccinella,novemnotata,,AP,Rural,"Adams Co., OH",,,,30-Sep-34,1934,1930,1930-1934,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 762144,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1938
Adams,3118,Coccinella novemnotata,Coccinella,novemnotata,,AP,Rural,"Adams Co., OH",,,,30-Sep-34,1934,1930,1930-1934,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 762141,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1938
Adams,3838,Hippodamia convergens,Hippodamia,convergens,,AP,Rural,"Adams Co., OH",,,,14-Jul-34,1934,1930,1930-1934,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550467,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1938
Adams,1377,Coleomegilla maculata,Coleomegilla,maculata,lengi ,AP,Rural,"Serpent Mound Historical Site, Peebles, Meigs Twnp.",,,,20-Jul-35,1935,1930,1935-1939,1920-1940,1Pre-invasion,"Michigan State University, A.J. Cook Arthropod Research Collection",Museum,,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1938
Adams,4102,Myzia pullata,Myzia,pullata,,AP,Rural,"Adams Co., OH",,,,30-Sep-34,1934,1930,1930-1934,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 762008,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1938
Adams,3840,Hippodamia convergens,Hippodamia,convergens,,AP,Rural,"Adams Co., OH",,,,13-Jul-34,1934,1930,1930-1934,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550477,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1938
Adams,3920,Hippodamia parenthesis,Hippodamia,parenthesis,,AP,Rural,"1mi S Beasley Fork, Adams Co., OH",,,,29-Jul-85,1985,1980,1985-1989,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550573,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1992
Adams,3919,Hippodamia parenthesis,Hippodamia,parenthesis,,AP,Rural,"1mi S Beasley Fork, Adams Co., OH",,,,29-Jul-85,1985,1980,1985-1989,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550572,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1992
Adams,1784,Psyllobora vigintimaculata,Psyllobora,vigintimaculata,,AP,Rural,Blue Creek,,,,26-Aug-37,1937,1930,1935-1939,1920-1940,1Pre-invasion,"Michigan State University, A.J. Cook Arthropod Research Collection",Museum,,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1938
Adams,3119,Coccinella novemnotata,Coccinella,novemnotata,,AP,Rural,"Adams Co., OH",,,,30-Sep-34,1934,1930,1930-1934,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 762142,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1938
Adams,3917,Hippodamia parenthesis,Hippodamia,parenthesis,,AP,Rural,"1mi S Beasley Fork, Adams Co., OH",,,,29-Jul-85,1985,1980,1985-1989,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550570,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1992
Adams,3117,Coccinella novemnotata,Coccinella,novemnotata,,AP,Rural,"Adams Co., OH",,,,30-Sep-34,1934,1930,1930-1934,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 762140,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1938
Adams,3440,Coleomegilla maculata,Coleomegilla,maculata,lengi ,AP,Rural,"Adams Co., OH",,,,12-Aug-85,1985,1980,1985-1989,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 548874,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1992
Adams,3657,Cycloneda munda,Cycloneda,munda,,AP,Rural,"Adams Co., OH",,,,16-Jul-85,1985,1980,1985-1989,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 763992,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1992
Adams,3842,Hippodamia convergens,Hippodamia,convergens,,AP,Rural,"Adams Co., OH",,,,14-Jul-34,1934,1930,1930-1934,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550480,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1938
Adams,3081,Coccinella novemnotata,Coccinella,novemnotata,,AP,Rural,"Adams Co., OH",,,,30-Sep-34,1934,1930,1930-1934,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 762148,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1938
Adams,863,Hippodamia tredecimpunctata,Hippodamia,tredecimpunctata,,AP,Rural,West Union,,,,19-Jul-68,1968,1960,1965-1969,1950-1970,1Pre-invasion,Boonshoft Musuem of Discovery,Museum,,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1970
Adams,3193,Coccinella septempunctata,Coccinella,septempunctata,,AP,Rural,"1mi S Beasley Fork, Adams Co., OH",,,,29-Jul-85,1985,1980,1985-1989,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 762300,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1992
Adams,3915,Hippodamia parenthesis,Hippodamia,parenthesis,,AP,Rural,"1mi S Beasley Fork, Adams Co., OH",,,,29-Jul-85,1985,1980,1985-1989,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550568,ADA,20,WEST UNION,9,39001,28550,27330,25371,S,1280,480,39.056,38.599,-83.267,-83.706,586.28,2,-83.47218731,38.84528081,1992
