Decade,County,Adalia.bipunctata,Anatis.labiculata,Anatis.mali,Anisosticta.bitriangularis,Brachiacantha.ursina,Chilocorus.stigma,Coccinella.novemnotata,Coccinella.septempunctata,Coccinella.transversoguttata,Coccinella.trifasciata,Coccinella.undecimpunctata,Coleomegilla.maculata,Cycloneda.munda,Harmonia.axyridis,Hippodamia.convergens,Hippodamia.glacialis,Hippodamia.parenthesis,Hippodamia.quindecimmaculata,Hippodamia.tredecimpunctata,Hippodamia.variegata,Hyperaspis.undulata,Mulsantina.luteodorsa,Mulsantina.picta,Myzia.pullata,Neoharmonia.venusta,Olla.v-nigrum,Propylea.quatuordecimpunctata,Psyllobora.vigintimaculata,Totalcount,Population,Area,Urban_pop,Density,Prop_urban,Agriculture,Developed,Forest,Nontarget,Ag_change,Dev_change,For_change,Nont_Change,COUNTY_CD,OBJECTID,COUNTY_SEA,ODOT_DISTR,FIPS_COUNT,POP_2010,POP_2000,POP_1990,STATE_PLAN,ELEVATION_,ELEVATION1,LAT_NORTH_,LAT_SOUTH_,LONG_EAST_,LONG_WEST_,AREA_SQMI,AREA_ID,lon,lat,Regions,Decade30,Invasion,Totalinvasive,Totalnative,Propinvasive
1930,Auglaize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28034,401.7178055,10811,69.78530604,0.385638867,92.89788078,1.416821757,4.705229033,0.98006844,-0.046526986,0.009755658,0.035458066,0.001313262,AUG,30,WAPAKONETA,7,39011,45949,46611,44585,N,1105,780,40.687,40.354,-83.879,-84.457,402.02,13,-84.22180919,40.56095109,WLEB,1920-1940,1Pre-invasion,0,0,0
1930,Belmont,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94719,541.3875198,41206,174.9560094,0.435034154,63.04076632,2.363555357,33.35709513,1.238583204,-0.543829361,0.019213633,0.509578971,0.015036757,BEL,31,SAINT CLAIRSVILLE,11,39013,70400,70226,71074,S,1380,620,40.173,39.849,-80.702,-81.238,542.03,14,-80.98844148,40.01573563,AP,1920-1940,1Pre-invasion,0,1,0
1930,Athens,18,12,2,0,44,8,11,0,0,0,0,62,9,0,48,9,27,0,22,0,3,0,2,2,45,5,0,60,389,44175,508.5371204,15477,86.86681508,0.350356537,71.50227726,1.123209033,27.05071638,0.323797324,-0.906899374,0.017939321,0.87784064,0.011119414,ATH,28,ATHENS,10,39009,64757,62223,59549,S,1120,580,39.557,39.179,-81.721,-82.299,508.54,11,-82.0452705,39.33367163,AP,1920-1940,1Pre-invasion,0,389,0
1930,Hardin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27635,470.5338155,7069,58.73116679,0.255798806,94.66025641,0.697435898,4.523076923,0.119230769,-0.033173077,0.001923077,0.031410256,-0.000160256,HAR,64,KENTON,1,39065,32058,31945,31111,N,1140,835,40.821,40.503,-83.415,-83.881,470.58,50,-83.65939749,40.66149457,IOTP,1920-1940,1Pre-invasion,0,0,0
1930,Noble,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,8,14961,404.5847632,0,36.97865407,0,70.63305105,0.499463263,27.63895516,1.228530534,-0.807900465,0.007641042,0.787586474,0.012672948,NOB,9,CALDWELL,10,39121,14645,14058,11336,S,1340,660,39.954,39.582,-81.233,-81.697,404.61,75,-81.45581337,39.76582646,AP,1920-1940,1Pre-invasion,0,8,0
1930,Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20148,495.21664,0,40.68522415,0,73.637942,0.2971096,25.54653495,0.518413459,-0.084822957,0.012379567,0.073054727,-0.000611337,BRO,33,GEORGETOWN,9,39015,44846,42285,34966,S,1090,500,39.254,38.644,-83.673,-84.053,493.39,16,-83.86719558,38.93361062,IOTP,1920-1940,1Pre-invasion,0,0,0
1930,Highland,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25416,557.8397218,7911,45.56147403,0.311260623,81.26216742,0.597014926,18.04564136,0.095176292,-0.091796453,0.010815488,0.06313541,0.017845555,HIG,1,HILLSBORO,9,39071,43589,40875,35728,S,1340,700,39.38,39.018,-83.344,-83.873,557.74,53,-83.60106612,39.18463319,AP,1920-1940,1Pre-invasion,0,4,0
1930,Hocking,2,1,2,0,10,2,1,0,0,0,0,5,4,0,1,0,2,0,0,0,1,0,8,5,0,0,0,2,46,20407,423.5991399,6080,48.17526307,0.297936982,63.36970767,0.59262636,35.82397857,0.21368739,-0.907993333,0.007122913,0.891254488,0.009615933,HOC,2,LOGAN,10,39073,29380,28241,25533,S,1220,640,39.662,39.362,-82.16,-82.748,423.5,54,-82.47938836,39.49702844,AP,1920-1940,1Pre-invasion,0,46,0
1930,Harrison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18844,410.7887208,2597,45.87272981,0.13781575,67.26564796,2.782838672,28.06935058,1.882162797,-0.741441375,-0.020202762,0.734645901,0.026998237,HAS,86,CADIZ,11,39067,15864,15856,16085,N,1360,860,40.434,40.159,-80.865,-81.341,411.07,51,-81.09128611,40.29383274,AP,1920-1940,1Pre-invasion,0,0,0
1930,Ottawa,6,0,0,0,6,0,4,0,2,1,0,14,5,0,26,0,18,0,12,0,1,0,0,0,0,0,0,1,96,24109,267.0984085,4408,90.26261195,0.182836285,79.83300055,1.844708659,9.207660193,9.114630605,-0.053321837,0.051903703,-0.013046832,0.014464966,OTT,81,PORT CLINTON,2,39123,41428,40985,40029,N,725,485,41.725,41.456,-82.712,-83.417,265.52,102,-83.14233194,41.53795809,WLEB,1920-1940,1Pre-invasion,0,96,0
